商品名,商品タイプ,取引日,当日清算価格
USD/JPY,"U.S. Dollar-Japanese Yen",2025/08/25,147.715
USD/JPY,"U.S. Dollar-Japanese Yen",2025/08/26,147.445
USD/JPY,"U.S. Dollar-Japanese Yen",2025/08/27,147.435
USD/JPY,"U.S. Dollar-Japanese Yen",2025/08/28,146.975
USD/JPY,"U.S. Dollar-Japanese Yen",2025/08/29,146.975
USD/JPY,"U.S. Dollar-Japanese Yen",2025/09/01,147.19
USD/JPY,"U.S. Dollar-Japanese Yen",2025/09/02,148.365
USD/JPY,"U.S. Dollar-Japanese Yen",2025/09/03,148.11
USD/JPY,"U.S. Dollar-Japanese Yen",2025/09/04,148.47
USD/JPY,"U.S. Dollar-Japanese Yen",2025/09/05,147.45
USD/JPY,"U.S. Dollar-Japanese Yen",2025/09/08,147.53
USD/JPY,"U.S. Dollar-Japanese Yen",2025/09/09,147.44
USD/JPY,"U.S. Dollar-Japanese Yen",2025/09/10,147.47
USD/JPY,"U.S. Dollar-Japanese Yen",2025/09/11,147.215
USD/JPY,"U.S. Dollar-Japanese Yen",2025/09/12,147.6
USD/JPY,"U.S. Dollar-Japanese Yen",2025/09/15,147.42
USD/JPY,"U.S. Dollar-Japanese Yen",2025/09/16,146.46
USD/JPY,"U.S. Dollar-Japanese Yen",2025/09/17,147.025
USD/JPY,"U.S. Dollar-Japanese Yen",2025/09/18,148.025
USD/JPY,"U.S. Dollar-Japanese Yen",2025/09/19,147.93
USD/JPY,"U.S. Dollar-Japanese Yen",2025/09/22,147.72
USD/JPY,"U.S. Dollar-Japanese Yen",2025/09/23,147.665
USD/JPY,"U.S. Dollar-Japanese Yen",2025/09/24,148.925
USD/JPY,"U.S. Dollar-Japanese Yen",2025/09/25,149.775
USD/JPY,"U.S. Dollar-Japanese Yen",2025/09/26,149.51
USD/JPY,"U.S. Dollar-Japanese Yen",2025/09/29,148.615
USD/JPY,"U.S. Dollar-Japanese Yen",2025/09/30,147.95
USD/JPY,"U.S. Dollar-Japanese Yen",2025/10/01,147.09
USD/JPY,"U.S. Dollar-Japanese Yen",2025/10/02,147.275
USD/JPY,"U.S. Dollar-Japanese Yen",2025/10/03,147.475
USD/JPY,"U.S. Dollar-Japanese Yen",2025/10/06,150.39
USD/JPY,"U.S. Dollar-Japanese Yen",2025/10/07,151.91
USD/JPY,"U.S. Dollar-Japanese Yen",2025/10/08,152.705
USD/JPY,"U.S. Dollar-Japanese Yen",2025/10/09,153.095
USD/JPY,"U.S. Dollar-Japanese Yen",2025/10/10,151.59
USD/JPY,"U.S. Dollar-Japanese Yen",2025/10/13,152.33
USD/JPY,"U.S. Dollar-Japanese Yen",2025/10/14,151.815
USD/JPY,"U.S. Dollar-Japanese Yen",2025/10/15,151.1
USD/JPY,"U.S. Dollar-Japanese Yen",2025/10/16,150.44
USD/JPY,"U.S. Dollar-Japanese Yen",2025/10/17,150.485
USD/JPY,"U.S. Dollar-Japanese Yen",2025/10/20,150.755
USD/JPY,"U.S. Dollar-Japanese Yen",2025/10/21,151.93
USD/JPY,"U.S. Dollar-Japanese Yen",2025/10/22,151.95
USD/JPY,"U.S. Dollar-Japanese Yen",2025/10/23,152.605
USD/JPY,"U.S. Dollar-Japanese Yen",2025/10/24,152.81
USD/JPY,"U.S. Dollar-Japanese Yen",2025/10/27,152.905
USD/JPY,"U.S. Dollar-Japanese Yen",2025/10/28,152.115
USD/JPY,"U.S. Dollar-Japanese Yen",2025/10/29,152.725
USD/JPY,"U.S. Dollar-Japanese Yen",2025/10/30,154.11
USD/JPY,"U.S. Dollar-Japanese Yen",2025/10/31,154.105
USD/JPY,"U.S. Dollar-Japanese Yen",2025/11/03,154.225
USD/JPY,"U.S. Dollar-Japanese Yen",2025/11/04,153.675
USD/JPY,"U.S. Dollar-Japanese Yen",2025/11/05,154.1
USD/JPY,"U.S. Dollar-Japanese Yen",2025/11/06,153.075
USD/JPY,"U.S. Dollar-Japanese Yen",2025/11/07,153.425
USD/JPY,"U.S. Dollar-Japanese Yen",2025/11/10,154.175
USD/JPY,"U.S. Dollar-Japanese Yen",2025/11/11,154.165
USD/JPY,"U.S. Dollar-Japanese Yen",2025/11/12,154.83
USD/JPY,"U.S. Dollar-Japanese Yen",2025/11/13,154.5
USD/JPY,"U.S. Dollar-Japanese Yen",2025/11/14,154.53
USD/JPY,"U.S. Dollar-Japanese Yen",2025/11/17,155.25
USD/JPY,"U.S. Dollar-Japanese Yen",2025/11/18,155.52
USD/JPY,"U.S. Dollar-Japanese Yen",2025/11/19,157.185
USD/JPY,"U.S. Dollar-Japanese Yen",2025/11/20,157.48
USD/JPY,"U.S. Dollar-Japanese Yen",2025/11/21,156.385
USD/JPY,"U.S. Dollar-Japanese Yen",2025/11/24,156.92
USD/JPY,"U.S. Dollar-Japanese Yen",2025/11/25,156.095
USD/JPY,"U.S. Dollar-Japanese Yen",2025/11/26,156.465
USD/JPY,"U.S. Dollar-Japanese Yen",2025/11/27,156.31
USD/JPY,"U.S. Dollar-Japanese Yen",2025/11/28,156.135
USD/JPY,"U.S. Dollar-Japanese Yen",2025/12/01,155.485
USD/JPY,"U.S. Dollar-Japanese Yen",2025/12/02,155.895
USD/JPY,"U.S. Dollar-Japanese Yen",2025/12/03,155.23
USD/JPY,"U.S. Dollar-Japanese Yen",2025/12/04,155.11
USD/JPY,"U.S. Dollar-Japanese Yen",2025/12/05,155.305
USD/JPY,"U.S. Dollar-Japanese Yen",2025/12/08,155.92
USD/JPY,"U.S. Dollar-Japanese Yen",2025/12/09,156.91
USD/JPY,"U.S. Dollar-Japanese Yen",2025/12/10,156.09
USD/JPY,"U.S. Dollar-Japanese Yen",2025/12/11,155.56
USD/JPY,"U.S. Dollar-Japanese Yen",2025/12/12,155.88
USD/JPY,"U.S. Dollar-Japanese Yen",2025/12/15,155.215
USD/JPY,"U.S. Dollar-Japanese Yen",2025/12/16,154.72
USD/JPY,"U.S. Dollar-Japanese Yen",2025/12/17,155.69
USD/JPY,"U.S. Dollar-Japanese Yen",2025/12/18,155.575
USD/JPY,"U.S. Dollar-Japanese Yen",2025/12/19,157.71
USD/JPY,"U.S. Dollar-Japanese Yen",2025/12/22,157.03
USD/JPY,"U.S. Dollar-Japanese Yen",2025/12/23,156.2
USD/JPY,"U.S. Dollar-Japanese Yen",2025/12/24,155.955
USD/JPY,"U.S. Dollar-Japanese Yen",2025/12/25,155.86
USD/JPY,"U.S. Dollar-Japanese Yen",2025/12/26,156.495
USD/JPY,"U.S. Dollar-Japanese Yen",2025/12/29,156.04
USD/JPY,"U.S. Dollar-Japanese Yen",2025/12/30,156.435
USD/JPY,"U.S. Dollar-Japanese Yen",2025/12/31,156.65
USD/JPY,"U.S. Dollar-Japanese Yen",2026/01/02,156.89
USD/JPY,"U.S. Dollar-Japanese Yen",2026/01/05,156.415
USD/JPY,"U.S. Dollar-Japanese Yen",2026/01/06,156.685
USD/JPY,"U.S. Dollar-Japanese Yen",2026/01/07,156.76
USD/JPY,"U.S. Dollar-Japanese Yen",2026/01/08,156.875
USD/JPY,"U.S. Dollar-Japanese Yen",2026/01/09,157.9
USD/JPY,"U.S. Dollar-Japanese Yen",2026/01/12,158.155
USD/JPY,"U.S. Dollar-Japanese Yen",2026/01/13,159.19
USD/JPY,"U.S. Dollar-Japanese Yen",2026/01/14,158.495
USD/JPY,"U.S. Dollar-Japanese Yen",2026/01/15,158.645
USD/JPY,"U.S. Dollar-Japanese Yen",2026/01/16,158.08
USD/JPY,"U.S. Dollar-Japanese Yen",2026/01/19,158.135
USD/JPY,"U.S. Dollar-Japanese Yen",2026/01/20,158.17
USD/JPY,"U.S. Dollar-Japanese Yen",2026/01/21,158.31
USD/JPY,"U.S. Dollar-Japanese Yen",2026/01/22,158.44
USD/JPY,"U.S. Dollar-Japanese Yen",2026/01/23,155.83
USD/JPY,"U.S. Dollar-Japanese Yen",2026/01/26,154.23
USD/JPY,"U.S. Dollar-Japanese Yen",2026/01/27,152.19
USD/JPY,"U.S. Dollar-Japanese Yen",2026/01/28,153.42
USD/JPY,"U.S. Dollar-Japanese Yen",2026/01/29,153.12
USD/JPY,"U.S. Dollar-Japanese Yen",2026/01/30,154.76
USD/JPY,"U.S. Dollar-Japanese Yen",2026/02/02,155.62
USD/JPY,"U.S. Dollar-Japanese Yen",2026/02/03,155.735
USD/JPY,"U.S. Dollar-Japanese Yen",2026/02/04,156.91
USD/JPY,"U.S. Dollar-Japanese Yen",2026/02/05,157.06
USD/JPY,"U.S. Dollar-Japanese Yen",2026/02/06,157.105
USD/JPY,"U.S. Dollar-Japanese Yen",2026/02/09,155.87
USD/JPY,"U.S. Dollar-Japanese Yen",2026/02/10,154.42
USD/JPY,"U.S. Dollar-Japanese Yen",2026/02/11,153.305
USD/JPY,"U.S. Dollar-Japanese Yen",2026/02/12,152.77
USD/JPY,"U.S. Dollar-Japanese Yen",2026/02/13,152.78
USD/JPY,"U.S. Dollar-Japanese Yen",2026/02/16,153.54
USD/JPY,"U.S. Dollar-Japanese Yen",2026/02/17,153.295
USD/JPY,"U.S. Dollar-Japanese Yen",2026/02/18,154.825
USD/JPY,"U.S. Dollar-Japanese Yen",2026/02/19,154.98
USD/JPY,"U.S. Dollar-Japanese Yen",2026/02/20,155.065
USD/JPY,"U.S. Dollar-Japanese Yen",2026/02/23,154.715
USD/JPY,"U.S. Dollar-Japanese Yen",2026/02/24,155.92
USD/JPY,"U.S. Dollar-Japanese Yen",2026/02/25,156.405
USD/JPY,"U.S. Dollar-Japanese Yen",2026/02/26,156.115
USD/JPY,"U.S. Dollar-Japanese Yen",2026/02/27,156.16
USD/JPY,"U.S. Dollar-Japanese Yen",2026/03/02,157.355
USD/JPY,"U.S. Dollar-Japanese Yen",2026/03/03,157.76
USD/JPY,"U.S. Dollar-Japanese Yen",2026/03/04,157.06
USD/JPY,"U.S. Dollar-Japanese Yen",2026/03/05,157.57
USD/JPY,"U.S. Dollar-Japanese Yen",2026/03/06,157.92
USD/JPY,"U.S. Dollar-Japanese Yen",2026/03/09,157.69
USD/JPY,"U.S. Dollar-Japanese Yen",2026/03/10,158.065
USD/JPY,"U.S. Dollar-Japanese Yen",2026/03/11,158.96
USD/JPY,"U.S. Dollar-Japanese Yen",2026/03/12,159.315
USD/JPY,"U.S. Dollar-Japanese Yen",2026/03/13,159.66
USD/JPY,"U.S. Dollar-Japanese Yen",2026/03/16,159.05
USD/JPY,"U.S. Dollar-Japanese Yen",2026/03/17,159.01
USD/JPY,"U.S. Dollar-Japanese Yen",2026/03/18,159.89
USD/JPY,"U.S. Dollar-Japanese Yen",2026/03/19,157.72
USD/JPY,"U.S. Dollar-Japanese Yen",2026/03/20,159.31
USD/JPY,"U.S. Dollar-Japanese Yen",2026/03/23,158.445
USD/JPY,"U.S. Dollar-Japanese Yen",2026/03/24,158.75
USD/JPY,"U.S. Dollar-Japanese Yen",2026/03/25,159.465
USD/JPY,"U.S. Dollar-Japanese Yen",2026/03/26,159.755
USD/JPY,"U.S. Dollar-Japanese Yen",2026/03/27,160.165
USD/JPY,"U.S. Dollar-Japanese Yen",2026/03/30,159.735
USD/JPY,"U.S. Dollar-Japanese Yen",2026/03/31,158.745
USD/JPY,"U.S. Dollar-Japanese Yen",2026/04/01,158.785
USD/JPY,"U.S. Dollar-Japanese Yen",2026/04/02,159.58
USD/JPY,"U.S. Dollar-Japanese Yen",2026/04/03,159.625
USD/JPY,"U.S. Dollar-Japanese Yen",2026/04/06,159.7
USD/JPY,"U.S. Dollar-Japanese Yen",2026/04/07,159.685
USD/JPY,"U.S. Dollar-Japanese Yen",2026/04/08,158.575
USD/JPY,"U.S. Dollar-Japanese Yen",2026/04/09,159.035
USD/JPY,"U.S. Dollar-Japanese Yen",2026/04/10,159.29
USD/JPY,"U.S. Dollar-Japanese Yen",2026/04/13,159.46
USD/JPY,"U.S. Dollar-Japanese Yen",2026/04/14,158.815
USD/JPY,"U.S. Dollar-Japanese Yen",2026/04/15,158.98
USD/JPY,"U.S. Dollar-Japanese Yen",2026/04/16,159.185
USD/JPY,"U.S. Dollar-Japanese Yen",2026/04/17,158.565
USD/JPY,"U.S. Dollar-Japanese Yen",2026/04/20,158.84
USD/JPY,"U.S. Dollar-Japanese Yen",2026/04/21,159.4
USD/JPY,"U.S. Dollar-Japanese Yen",2026/04/22,159.52
USD/JPY,"U.S. Dollar-Japanese Yen",2026/04/23,159.75
USD/JPY,"U.S. Dollar-Japanese Yen",2026/04/24,159.43
USD/JPY,"U.S. Dollar-Japanese Yen",2026/04/27,159.405
USD/JPY,"U.S. Dollar-Japanese Yen",2026/04/28,159.625
USD/JPY,"U.S. Dollar-Japanese Yen",2026/04/29,160.45
USD/JPY,"U.S. Dollar-Japanese Yen",2026/04/30,156.59
USD/JPY,"U.S. Dollar-Japanese Yen",2026/05/01,157.05
USD/JPY,"U.S. Dollar-Japanese Yen",2026/05/04,157.235
USD/JPY,"U.S. Dollar-Japanese Yen",2026/05/05,157.885
USD/JPY,"U.S. Dollar-Japanese Yen",2026/05/06,156.39
USD/JPY,"U.S. Dollar-Japanese Yen",2026/05/07,156.915
USD/JPY,"U.S. Dollar-Japanese Yen",2026/05/08,156.725
USD/JPY,"U.S. Dollar-Japanese Yen",2026/05/11,157.245
USD/JPY,"U.S. Dollar-Japanese Yen",2026/05/12,157.645
USD/JPY,"U.S. Dollar-Japanese Yen",2026/05/13,157.905
USD/JPY,"U.S. Dollar-Japanese Yen",2026/05/14,158.39
USD/JPY,"U.S. Dollar-Japanese Yen",2026/05/15,158.77
USD/JPY,"U.S. Dollar-Japanese Yen",2026/05/18,158.86
USD/JPY,"U.S. Dollar-Japanese Yen",2026/05/19,159.09
USD/JPY,"U.S. Dollar-Japanese Yen",2026/05/20,158.9
USD/JPY,"U.S. Dollar-Japanese Yen",2026/05/21,158.985
USD/JPY,"U.S. Dollar-Japanese Yen",2026/05/22,159.185
EUR/JPY,"Euro-Japanese Yen",2025/05/26,162.65
EUR/JPY,"Euro-Japanese Yen",2025/05/27,163.52
EUR/JPY,"Euro-Japanese Yen",2025/05/28,163.62
EUR/JPY,"Euro-Japanese Yen",2025/05/29,163.925
EUR/JPY,"Euro-Japanese Yen",2025/05/30,163.4
EUR/JPY,"Euro-Japanese Yen",2025/06/02,163.27
EUR/JPY,"Euro-Japanese Yen",2025/06/03,163.765
EUR/JPY,"Euro-Japanese Yen",2025/06/04,163.055
EUR/JPY,"Euro-Japanese Yen",2025/06/05,164.375
EUR/JPY,"Euro-Japanese Yen",2025/06/06,165.005
EUR/JPY,"Euro-Japanese Yen",2025/06/09,165.15
EUR/JPY,"Euro-Japanese Yen",2025/06/10,165.575
EUR/JPY,"Euro-Japanese Yen",2025/06/11,166.1
EUR/JPY,"Euro-Japanese Yen",2025/06/12,166.29
EUR/JPY,"Euro-Japanese Yen",2025/06/13,166.235
EUR/JPY,"Euro-Japanese Yen",2025/06/16,167.36
EUR/JPY,"Euro-Japanese Yen",2025/06/17,166.83
EUR/JPY,"Euro-Japanese Yen",2025/06/18,166.6
EUR/JPY,"Euro-Japanese Yen",2025/06/19,167.205
EUR/JPY,"Euro-Japanese Yen",2025/06/20,168.355
EUR/JPY,"Euro-Japanese Yen",2025/06/23,169.21
EUR/JPY,"Euro-Japanese Yen",2025/06/24,168.185
EUR/JPY,"Euro-Japanese Yen",2025/06/25,169.335
EUR/JPY,"Euro-Japanese Yen",2025/06/26,169
EUR/JPY,"Euro-Japanese Yen",2025/06/27,169.455
EUR/JPY,"Euro-Japanese Yen",2025/06/30,169.66
EUR/JPY,"Euro-Japanese Yen",2025/07/01,169.33
EUR/JPY,"Euro-Japanese Yen",2025/07/02,169.495
EUR/JPY,"Euro-Japanese Yen",2025/07/03,170.39
EUR/JPY,"Euro-Japanese Yen",2025/07/04,170.21
EUR/JPY,"Euro-Japanese Yen",2025/07/07,171.025
EUR/JPY,"Euro-Japanese Yen",2025/07/08,171.905
EUR/JPY,"Euro-Japanese Yen",2025/07/09,171.585
EUR/JPY,"Euro-Japanese Yen",2025/07/10,171.09
EUR/JPY,"Euro-Japanese Yen",2025/07/11,172.255
EUR/JPY,"Euro-Japanese Yen",2025/07/14,172.39
EUR/JPY,"Euro-Japanese Yen",2025/07/15,172.7
EUR/JPY,"Euro-Japanese Yen",2025/07/16,172.17
EUR/JPY,"Euro-Japanese Yen",2025/07/17,172.34
EUR/JPY,"Euro-Japanese Yen",2025/07/18,172.875
EUR/JPY,"Euro-Japanese Yen",2025/07/21,172.34
EUR/JPY,"Euro-Japanese Yen",2025/07/22,172.35
EUR/JPY,"Euro-Japanese Yen",2025/07/23,172.455
EUR/JPY,"Euro-Japanese Yen",2025/07/24,172.71
EUR/JPY,"Euro-Japanese Yen",2025/07/25,173.375
EUR/JPY,"Euro-Japanese Yen",2025/07/28,172.15
EUR/JPY,"Euro-Japanese Yen",2025/07/29,171.405
EUR/JPY,"Euro-Japanese Yen",2025/07/30,170.54
EUR/JPY,"Euro-Japanese Yen",2025/07/31,172.135
EUR/JPY,"Euro-Japanese Yen",2025/08/01,170.575
EUR/JPY,"Euro-Japanese Yen",2025/08/04,170.23
EUR/JPY,"Euro-Japanese Yen",2025/08/05,170.81
EUR/JPY,"Euro-Japanese Yen",2025/08/06,171.775
EUR/JPY,"Euro-Japanese Yen",2025/08/07,171.65
EUR/JPY,"Euro-Japanese Yen",2025/08/08,172.035
EUR/JPY,"Euro-Japanese Yen",2025/08/11,172.105
EUR/JPY,"Euro-Japanese Yen",2025/08/12,172.6
EUR/JPY,"Euro-Japanese Yen",2025/08/13,172.525
EUR/JPY,"Euro-Japanese Yen",2025/08/14,172.085
EUR/JPY,"Euro-Japanese Yen",2025/08/15,172.285
EUR/JPY,"Euro-Japanese Yen",2025/08/18,172.46
EUR/JPY,"Euro-Japanese Yen",2025/08/19,171.995
EUR/JPY,"Euro-Japanese Yen",2025/08/20,171.675
EUR/JPY,"Euro-Japanese Yen",2025/08/21,172.205
EUR/JPY,"Euro-Japanese Yen",2025/08/22,172.25
EUR/JPY,"Euro-Japanese Yen",2025/08/25,171.66
EUR/JPY,"Euro-Japanese Yen",2025/08/26,171.655
EUR/JPY,"Euro-Japanese Yen",2025/08/27,171.56
EUR/JPY,"Euro-Japanese Yen",2025/08/28,171.695
EUR/JPY,"Euro-Japanese Yen",2025/08/29,171.915
EUR/JPY,"Euro-Japanese Yen",2025/09/01,172.39
EUR/JPY,"Euro-Japanese Yen",2025/09/02,172.715
EUR/JPY,"Euro-Japanese Yen",2025/09/03,172.695
EUR/JPY,"Euro-Japanese Yen",2025/09/04,172.965
EUR/JPY,"Euro-Japanese Yen",2025/09/05,172.785
EUR/JPY,"Euro-Japanese Yen",2025/09/08,173.485
EUR/JPY,"Euro-Japanese Yen",2025/09/09,172.645
EUR/JPY,"Euro-Japanese Yen",2025/09/10,172.44
EUR/JPY,"Euro-Japanese Yen",2025/09/11,172.795
EUR/JPY,"Euro-Japanese Yen",2025/09/12,173.23
EUR/JPY,"Euro-Japanese Yen",2025/09/15,173.365
EUR/JPY,"Euro-Japanese Yen",2025/09/16,173.785
EUR/JPY,"Euro-Japanese Yen",2025/09/17,173.665
EUR/JPY,"Euro-Japanese Yen",2025/09/18,174.39
EUR/JPY,"Euro-Japanese Yen",2025/09/19,173.79
EUR/JPY,"Euro-Japanese Yen",2025/09/22,174.35
EUR/JPY,"Euro-Japanese Yen",2025/09/23,174.485
EUR/JPY,"Euro-Japanese Yen",2025/09/24,174.78
EUR/JPY,"Euro-Japanese Yen",2025/09/25,174.73
EUR/JPY,"Euro-Japanese Yen",2025/09/26,174.99
EUR/JPY,"Euro-Japanese Yen",2025/09/29,174.295
EUR/JPY,"Euro-Japanese Yen",2025/09/30,173.61
EUR/JPY,"Euro-Japanese Yen",2025/10/01,172.525
EUR/JPY,"Euro-Japanese Yen",2025/10/02,172.545
EUR/JPY,"Euro-Japanese Yen",2025/10/03,173.135
EUR/JPY,"Euro-Japanese Yen",2025/10/06,176.105
EUR/JPY,"Euro-Japanese Yen",2025/10/07,177.1
EUR/JPY,"Euro-Japanese Yen",2025/10/08,177.57
EUR/JPY,"Euro-Japanese Yen",2025/10/09,177.02
EUR/JPY,"Euro-Japanese Yen",2025/10/10,176.06
EUR/JPY,"Euro-Japanese Yen",2025/10/13,176.195
EUR/JPY,"Euro-Japanese Yen",2025/10/14,176.205
EUR/JPY,"Euro-Japanese Yen",2025/10/15,175.96
EUR/JPY,"Euro-Japanese Yen",2025/10/16,175.825
EUR/JPY,"Euro-Japanese Yen",2025/10/17,175.61
EUR/JPY,"Euro-Japanese Yen",2025/10/20,175.535
EUR/JPY,"Euro-Japanese Yen",2025/10/21,176.245
EUR/JPY,"Euro-Japanese Yen",2025/10/22,176.41
EUR/JPY,"Euro-Japanese Yen",2025/10/23,177.26
EUR/JPY,"Euro-Japanese Yen",2025/10/24,177.775
EUR/JPY,"Euro-Japanese Yen",2025/10/27,178.025
EUR/JPY,"Euro-Japanese Yen",2025/10/28,177.25
EUR/JPY,"Euro-Japanese Yen",2025/10/29,177.16
EUR/JPY,"Euro-Japanese Yen",2025/10/30,178.315
EUR/JPY,"Euro-Japanese Yen",2025/10/31,177.64
EUR/JPY,"Euro-Japanese Yen",2025/11/03,177.65
EUR/JPY,"Euro-Japanese Yen",2025/11/04,176.435
EUR/JPY,"Euro-Japanese Yen",2025/11/05,177.145
EUR/JPY,"Euro-Japanese Yen",2025/11/06,176.78
EUR/JPY,"Euro-Japanese Yen",2025/11/07,177.425
EUR/JPY,"Euro-Japanese Yen",2025/11/10,178.175
EUR/JPY,"Euro-Japanese Yen",2025/11/11,178.555
EUR/JPY,"Euro-Japanese Yen",2025/11/12,179.44
EUR/JPY,"Euro-Japanese Yen",2025/11/13,179.805
EUR/JPY,"Euro-Japanese Yen",2025/11/14,179.575
EUR/JPY,"Euro-Japanese Yen",2025/11/17,179.94
EUR/JPY,"Euro-Japanese Yen",2025/11/18,180.085
EUR/JPY,"Euro-Japanese Yen",2025/11/19,181.36
EUR/JPY,"Euro-Japanese Yen",2025/11/20,181.515
EUR/JPY,"Euro-Japanese Yen",2025/11/21,180.135
EUR/JPY,"Euro-Japanese Yen",2025/11/24,180.79
EUR/JPY,"Euro-Japanese Yen",2025/11/25,180.61
EUR/JPY,"Euro-Japanese Yen",2025/11/26,181.42
EUR/JPY,"Euro-Japanese Yen",2025/11/27,181.265
EUR/JPY,"Euro-Japanese Yen",2025/11/28,181.15
EUR/JPY,"Euro-Japanese Yen",2025/12/01,180.52
EUR/JPY,"Euro-Japanese Yen",2025/12/02,181.185
EUR/JPY,"Euro-Japanese Yen",2025/12/03,181.16
EUR/JPY,"Euro-Japanese Yen",2025/12/04,180.65
EUR/JPY,"Euro-Japanese Yen",2025/12/05,180.84
EUR/JPY,"Euro-Japanese Yen",2025/12/08,181.44
EUR/JPY,"Euro-Japanese Yen",2025/12/09,182.435
EUR/JPY,"Euro-Japanese Yen",2025/12/10,182.505
EUR/JPY,"Euro-Japanese Yen",2025/12/11,182.61
